drug_name,reaction,pair_count,ROR,p_value,max_cusum,alert_quarters,cusum_signal,max_ewma,ewma_signal,confidence_score,confidence_label
humira,Allergic oedema,222,17.0,2.8299999999999998e-207,,,False,,False,1,Low — ROR only
jardiance,Amputation,32,16.49,1.32e-46,,,False,,False,1,Low — ROR only
humira,Injection site haemorrhage,12091,16.39,0.0,,,False,,False,1,Low — ROR only
humira,Limb asymmetry,80,16.34,5.069999999999999e-74,,,False,,False,1,Low — ROR only
humira,Pelvic floor hernia,82,16.25,1.08e-75,,,False,,False,1,Low — ROR only
humira,Deafness bilateral,99,15.89,2.39e-90,,,False,,False,1,Low — ROR only
jardiance,Glycosylated haemoglobin decreased,180,15.86,6.43e-255,,,False,,False,1,Low — ROR only
humira,Small intestinal haemorrhage,98,15.73,4.67e-89,,,False,,False,1,Low — ROR only
humira,Protein total increased,151,15.66,1.6899999999999999e-136,,,False,,False,1,Low — ROR only
jardiance,Polycythaemia,54,15.65,3.64e-76,,,False,,False,1,Low — ROR only
humira,Cytogenetic abnormality,58,15.64,6.93e-53,,,False,,False,1,Low — ROR only
jardiance,Vulvovaginal pruritus,157,15.61,2.58e-220,,,False,,False,1,Low — ROR only
humira,Urinary bladder haemorrhage,60,15.55,1.4599999999999998e-54,,,False,,False,1,Low — ROR only
humira,Gastric perforation,143,15.54,6.5e-129,,,False,,False,1,Low — ROR only
humira,Product colour issue,76,15.52,7.43e-69,,,False,,False,1,Low — ROR only
jardiance,Erythema nodosum,32,15.35,1.03e-44,,,False,,False,1,Low — ROR only
humira,Medical procedure,243,15.31,6.3800000000000005e-217,,,False,,False,1,Low — ROR only
humira,Injection site infection,109,14.99,6.41e-97,,,False,,False,1,Low — ROR only
humira,Medical device pain,212,14.88,5.02e-187,,,False,,False,1,Low — ROR only
humira,Seroma,174,14.84,1.7e-153,,,False,,False,1,Low — ROR only
humira,Chemotherapy,413,14.65,0.0,,,False,,False,1,Low — ROR only
humira,Sweat gland infection,65,14.6,1.94e-57,,,False,,False,1,Low — ROR only
jardiance,Antinuclear antibody positive,30,14.39,2.5e-40,,,False,,False,1,Low — ROR only
jardiance,Vulval abscess,31,14.38,1.23e-41,,,False,,False,1,Low — ROR only
jardiance,Orchitis,31,14.38,1.23e-41,,,False,,False,1,Low — ROR only
humira,Protein total decreased,161,14.28,1.3799999999999999e-139,,,False,,False,1,Low — ROR only
humira,Spinal decompression,82,14.17,2.84e-71,,,False,,False,1,Low — ROR only
humira,Post procedural pneumonia,67,14.11,2.8900000000000003e-58,,,False,,False,1,Low — ROR only
humira,Antiphospholipid syndrome,194,14.06,8.66e-167,,,False,,False,1,Low — ROR only
jardiance,Therapeutic response delayed,30,13.91,1.74e-39,,,False,,False,1,Low — ROR only
humira,Hidradenitis,10026,13.8,0.0,,,False,,False,1,Low — ROR only
humira,Corneal transplant,100,13.75,1.58e-85,,,False,,False,1,Low — ROR only
humira,Neck surgery,525,13.66,0.0,,,False,,False,1,Low — ROR only
humira,Patient-device incompatibility,52,13.48,2e-44,,,False,,False,1,Low — ROR only
humira,Gallbladder enlargement,118,13.48,8.61e-100,,,False,,False,1,Low — ROR only
jardiance,Vascular stent stenosis,27,13.41,9.46e-35,,,False,,False,1,Low — ROR only
humira,Walking disability,117,13.36,1.52e-98,,,False,,False,1,Low — ROR only
zantac,Precancerous condition,239,12.89,1.4000000000000001e-101,,,False,,False,1,Low — ROR only
